ER53001,ER53002,ER53017,ER53019,ER53023,ER53935,ER54309,ER58223,ER58224
4,6605,34,35,1,55000,375,16,12
4,4278,42,30,2,11000,30000,12,12
4,5572,45,32,1,52400,30503,16,12
4,3578,29,29,1,0,9000,11,12
4,8138,34,35,1,24000,400,11,12
4,6863,55,51,1,30380,32000,10,14
4,1830,35,0,4,46000,0,12,0
4,4511,19,0,2,9999998,0,12,0
4,1762,57,57,1,34365,24072,8,8
4,2753,58,59,1,32000,0,8,8
4,4255,45,39,1,0,19699,12,13
4,5421,57,0,4,15124,0,11,0
4,5424,23,35,2,13000,0,11,12
4,88,77,75,1,0,0,14,13
4,3521,48,39,1,0,0,17,16
4,4606,22,0,2,13000,0,16,0
4,869,52,52,1,0,0,14,17
4,2030,44,42,1,80000,34722,12,16
4,7387,41,37,1,42000,22000,17,14
4,2002,43,40,1,85000,29000,17,16
4,1841,28,25,1,35000,32000,12,12
4,860,77,72,1,0,30000,12,12
4,1140,53,0,4,25000,0,12,0
4,51,49,51,1,56000,39000,13,14
4,3227,53,51,1,70000,55000,17,16
4,1097,42,35,1,55000,14000,14,14
4,2296,40,39,1,100000,56000,12,16
4,3006,71,70,1,7000,3200,12,12
4,882,45,42,1,100000,0,12,12
4,4566,24,0,1,0,0,12,0
4,1698,78,75,1,0,5400,10,15
4,1439,55,59,1,64800,0,11,12
4,2637,52,61,1,22000,24000,11,8
4,3379,51,63,1,53166,0,12,12
4,5931,48,40,1,36200,0,11,12
4,3182,46,0,5,9000,0,10,0
4,5214,34,25,1,33226,32000,9,12
4,4778,32,0,4,32000,0,11,0
4,3928,32,30,1,33000,14000,10,12
4,3481,28,0,2,27000,0,17,0
4,4457,24,0,2,5000,0,8,0
4,7198,24,21,2,14000,15000,11,13
4,3988,21,0,2,5600,0,10,0
4,3068,54,54,1,30000,19759,14,12
4,2439,58,0,4,14000,0,13,0
4,1815,65,53,1,0,1000,14,12
4,3340,79,73,1,0,9000,11,16
4,3501,49,45,1,21200,35000,13,16
4,7449,27,26,2,25000,0,11,14
4,4984,76,0,3,0,0,11,0
4,7048,48,0,4,8000,0,12,0
4,6164,36,0,5,7488,0,10,0
4,7024,20,0,2,10800,0,10,0
4,8288,25,21,2,0,0,10,8
4,8318,28,20,2,13000,7000,9,12
4,5709,64,62,1,9999999,30000,17,14
4,7471,43,0,5,45000,0,17,0
4,3323,37,31,1,78000,34500,14,16
4,5723,22,0,2,12000,0,14,0
4,8040,67,66,1,26600,5450,12,12
4,7187,43,42,1,85000,45000,13,16
4,3347,87,0,3,0,0,15,0
4,7127,62,50,1,75000,0,17,17
4,2321,61,61,1,33200,0,17,17
4,4591,31,32,1,35000,60000,17,16
4,5034,55,56,1,61000,43000,16,17
4,5694,34,34,1,77000,49000,17,17
4,2120,24,24,1,40000,28000,16,16
4,479,75,0,4,0,0,14,0
4,2636,46,43,1,100000,15000,14,14
4,82,79,0,3,0,0,12,0
4,1050,50,0,2,45000,0,13,0
4,3424,59,0,4,80000,0,17,0
4,8249,32,33,1,300000,0,12,16
4,4001,27,0,2,10000,0,16,0
4,3822,86,0,3,0,0,16,0
4,2408,60,0,2,0,0,17,0
4,517,80,62,4,0,0,12,17
4,478,56,55,1,55000,6000,12,12
4,2823,49,0,2,56000,0,14,0
4,1651,36,34,1,45000,35000,13,14
4,1055,29,30,1,13000,140000,14,16
4,8436,50,0,3,0,0,12,0
4,7984,37,33,1,55000,26000,12,12
4,1013,53,55,1,57000,26000,12,12
4,402,77,77,3,0,0,14,12
4,4233,75,73,1,0,0,13,12
4,6722,54,0,4,100000,0,13,0
4,1294,32,0,4,90000,0,16,0
4,7693,30,0,1,0,0,17,0
4,1552,26,25,1,57000,11000,13,17
4,9056,25,24,2,0,20000,10,14
4,7831,33,35,1,85000,45000,15,14
4,1150,84,81,1,0,0,12,12
4,3842,58,0,4,29000,0,12,0
4,2285,49,0,2,48000,0,16,0
4,633,33,0,2,42000,0,12,0
4,5408,25,0,2,58000,0,16,0
4,5036,61,59,1,0,58500,12,12
4,8186,38,33,1,0,54792,12,14
4,7291,36,35,1,93000,27000,17,17
4,1666,55,55,1,32000,51500,12,12
4,6915,32,32,2,25000,36400,12,99
4,409,74,68,1,7000,0,16,16
4,7090,49,0,4,42000,0,14,0
4,6690,54,51,1,77000,60000,12,16
4,9010,45,49,1,98000,51000,16,16
4,3508,79,0,3,0,0,14,0
4,862,56,54,1,118000,18000,16,12
4,2959,43,47,1,95000,14903,16,12
4,363,37,30,1,56000,42000,12,17
4,211,65,0,2,300,0,16,0
4,94,37,30,1,0,27000,12,16
4,345,66,66,1,0,22000,16,17
4,1734,67,65,1,0,27168,16,14
4,5028,38,46,1,58000,0,14,14
4,6132,67,0,4,0,0,12,0
4,7980,33,0,5,2000,0,9,0
4,700,65,71,2,0,14000,10,12
4,2470,38,0,5,19500,0,12,0
4,2375,36,30,1,38000,30000,13,13
4,5730,23,0,2,25000,0,11,0
4,8050,35,0,5,0,0,13,0
4,2895,33,34,1,30000,0,11,11
4,5939,56,54,1,56000,26000,12,12
4,7029,35,28,1,31000,0,12,12
4,4115,85,0,3,0,0,14,0
4,5058,21,0,2,14626,0,12,0
4,1197,47,0,4,45000,0,14,0
4,1560,70,67,1,18000,5000,17,14
4,2762,35,0,2,54000,0,14,0
4,1663,40,39,1,51535,4080,14,17
4,1104,56,57,1,7000,0,12,12
4,1131,66,59,1,0,0,17,13
4,4596,36,31,1,90000,9999998,16,11
4,2834,41,35,1,78900,6500,16,17
4,5615,46,41,1,60000,40000,17,17
4,4381,52,42,1,90000,10000,16,15
4,4827,73,64,1,0,0,12,10
4,3902,33,0,2,27000,0,12,0
4,4739,58,51,1,124000,9999999,17,16
4,4488,55,56,1,0,57684,16,17
4,5399,25,0,2,23500,0,13,0
4,6365,28,28,1,38000,42000,17,17
4,4709,25,27,2,5500,22000,12,13
4,4611,46,44,1,36958,143504,14,17
4,5949,40,36,1,82000,70000,16,14
4,8104,39,28,1,0,9999998,12,11
4,8525,25,0,2,11000,0,11,0
4,5209,52,48,3,24000,17400,12,12
4,7538,37,0,5,3000,0,16,0
4,6375,35,34,1,28000,53000,14,16
4,438,64,63,1,0,0,12,15
4,279,60,58,1,82800,0,16,12
4,3066,40,40,1,60000,9000,14,15
4,463,39,32,1,62000,49000,17,17
4,165,79,79,1,0,0,16,15
4,7800,52,50,1,107800,43726,15,16
4,7916,23,0,2,9999998,0,14,0
4,7615,38,0,5,7800,0,11,0
4,8874,42,0,2,0,0,9,0
4,7863,44,40,1,0,0,8,11
4,7616,33,33,1,9999998,4900,11,11
4,8677,28,23,1,0,0,12,11
4,8587,44,0,2,6716,0,11,0
4,61,75,74,1,0,0,12,12
4,168,52,0,5,15000,0,14,0
4,7007,34,0,2,35000,0,13,0
4,6188,33,0,2,75000,0,12,0
4,10,79,0,4,0,0,16,0
4,256,74,0,3,0,0,10,0
4,5865,41,0,4,0,0,12,0
4,8314,21,26,1,0,0,13,13
4,6385,19,0,2,7800,0,11,0
4,90,48,44,1,66000,0,12,14
4,526,46,42,1,40000,60000,17,17
4,5104,77,0,3,0,0,12,0
4,4920,24,0,2,35000,0,16,0
4,1036,51,47,1,125000,2600,17,17
4,39,85,82,1,30000,0,15,16
4,6414,61,58,1,425000,0,17,16
4,28,56,0,2,0,0,16,0
4,4450,66,0,3,73000,0,17,0
4,782,39,40,1,150000,150000,16,16
4,4282,37,35,1,80000,1200,16,16
4,1158,34,0,2,173000,0,17,0
4,1401,31,0,2,110000,0,16,0
4,909,24,0,2,32500,0,16,0
4,5318,33,32,1,89167,92000,17,16
4,6999,29,28,2,0,85000,16,16
4,5393,70,70,1,64000,0,12,12
4,6779,44,42,1,75000,40000,12,13
4,8276,40,34,1,86000,0,12,99
4,4891,61,55,1,32400,40600,14,14
4,8139,48,0,2,12000,0,13,0
4,4644,50,58,4,4000,44000,15,16
4,4750,66,69,1,0,0,16,14
4,4919,30,33,1,33000,48000,16,17
4,7248,26,0,2,32000,0,16,0
4,5428,61,63,1,31000,33500,16,17
4,4689,40,39,1,65000,55000,16,17
4,6111,63,62,1,14600,39000,16,17
4,5716,36,35,1,72000,3000,17,17
4,5745,36,33,1,119000,0,17,16
4,4353,41,46,1,45000,49000,12,12
4,1311,34,0,2,40000,0,16,0
4,4855,80,66,1,0,1125,12,14
4,8054,33,31,1,51210,40765,14,14
4,8533,39,37,4,70000,0,99,12
4,2041,29,0,2,40000,0,12,0
4,1166,26,0,2,55000,0,16,0
4,4936,23,0,2,10000,0,14,0
4,2785,60,58,1,48000,0,12,12
4,1051,57,56,1,0,50000,16,16
4,1808,56,59,1,38000,0,12,12
4,6571,51,36,1,42000,22000,12,14
4,3085,45,32,1,58000,17054,10,14
4,1930,31,28,1,29100,19900,14,12
4,1675,35,26,1,59000,6500,12,11
4,3427,33,30,2,65000,52000,16,17
4,6151,92,0,3,0,0,12,0
4,3665,59,55,1,13045,38299,17,17
4,2494,55,51,1,9999999,9999999,17,17
4,4003,34,0,2,56000,0,16,0
4,5223,30,30,1,77000,85000,17,16
4,5783,26,0,2,42000,0,16,0
4,4633,22,0,2,10000,0,17,0
4,6366,67,65,1,0,0,17,16
4,4844,66,64,1,0,0,17,16
4,8406,26,0,2,31000,0,17,0
4,1516,61,0,4,0,0,12,0
4,9095,27,0,2,18000,0,12,0
4,2184,25,0,2,42000,0,12,0
4,1046,55,53,1,49920,53956,15,14
4,4789,70,0,4,7696,0,16,0
4,4572,24,0,2,60000,0,16,0
4,1791,26,26,1,4000,64000,13,14
4,5203,66,0,4,800,0,16,0
4,1286,74,0,4,31200,0,12,0
4,4722,53,0,2,22000,0,12,0
4,4038,35,0,4,28000,0,12,0
4,1177,56,54,1,0,8000,12,10
4,8458,40,35,2,12000,14000,12,12
4,8176,25,24,1,30000,0,12,14
4,6979,33,29,1,54000,25000,16,12
4,907,63,63,1,95000,0,17,17
4,1298,74,0,3,9999999,0,17,0
4,8798,21,0,2,26000,0,15,0
4,8643,22,22,1,21000,25000,12,15
4,5965,32,29,1,6000,0,14,15
4,5726,22,0,2,15000,0,14,0
4,1773,64,62,1,0,16500,16,14
4,68,82,0,3,0,0,13,0
4,754,54,51,1,100000,0,16,17
4,6255,34,30,1,66000,63000,16,17
4,2875,64,61,1,8000,80000,17,17
4,781,29,31,2,45000,52000,17,17
4,360,79,0,3,0,0,17,0
4,1624,55,0,4,0,0,12,0
4,5784,54,64,1,48000,6000,17,17
4,6846,34,22,1,40000,0,10,11
4,2064,30,0,4,0,0,11,0
4,2564,28,27,1,19000,0,12,13
4,6848,23,0,2,9000,0,16,0
4,7891,52,52,1,90000,9999998,16,16
4,7369,83,0,3,0,0,12,0
4,367,59,0,4,107000,0,17,0
4,8208,38,30,2,101000,72000,14,16
4,2751,53,53,1,158000,15100,17,14
4,7290,62,58,1,120000,60000,16,16
4,8828,61,56,1,30800,0,16,16
4,5580,26,0,2,13400,0,13,0
4,428,72,67,1,0,0,16,12
4,2904,46,46,1,0,0,16,17
4,5140,37,43,1,65000,840,16,12
4,1742,66,64,1,0,0,15,12
4,2364,92,93,3,0,0,12,99
4,795,59,53,1,34000,0,12,13
4,8993,31,29,1,65000,55000,17,16
4,7854,69,0,2,0,0,17,0
4,904,50,43,1,75000,45200,12,14
4,7495,42,38,1,90000,17000,9,14
4,1518,39,0,2,49500,0,17,0
4,745,37,33,2,78000,80000,16,12
4,3436,67,64,1,8550,0,16,16
4,1749,43,41,1,32000,45000,17,17
4,5006,41,38,1,0,115000,16,17
4,146,81,76,1,0,0,16,14
4,34,51,0,5,95000,0,16,0
4,8750,49,0,5,40000,0,12,0
4,3398,88,0,3,0,0,12,0
4,2772,64,60,1,120000,0,16,12
4,946,58,0,3,1500000,0,16,0
4,592,31,0,2,150000,0,16,0
4,2196,27,0,2,122000,0,16,0
4,3369,89,77,1,0,0,17,16
4,1101,59,52,1,0,0,14,15
4,2161,66,67,1,0,0,17,17
4,2113,44,41,1,96000,20000,17,17
4,1967,37,34,1,91000,50000,16,16
4,2327,49,46,1,95000,10000,17,17
4,159,68,0,3,0,0,12,0
4,1926,32,31,2,24000,7500,14,14
4,434,40,0,2,8000,0,12,0
4,1126,64,64,1,0,0,16,16
4,9030,37,39,1,9999999,9999999,14,12
4,8653,33,32,5,40000,40000,13,13
4,5382,27,25,2,13248,35000,13,13
4,1471,96,0,3,0,0,12,0
4,544,32,0,4,65000,0,16,0
4,2647,28,0,2,45000,0,17,0
4,41,60,60,1,0,2600,16,17
4,5727,70,67,1,0,0,9,12
4,6601,46,43,1,45000,48000,12,16
4,8978,27,38,1,25000,700,12,11
4,7340,47,49,1,32000,10000,14,12
4,2838,66,0,4,0,0,14,0
4,713,72,0,4,180,0,15,0
4,8701,34,37,2,20800,10400,16,16
4,340,83,0,3,0,0,12,0
4,3364,47,0,2,52200,0,13,0
4,9060,22,0,2,7200,0,16,0
4,457,40,41,1,800,46000,12,12
4,4170,86,0,3,0,0,8,0
4,507,31,30,1,60500,335,14,13
4,2773,65,62,1,0,0,12,12
4,1219,40,39,1,54000,9000,12,14
4,1181,33,33,1,91000,0,16,16
4,101,88,68,1,0,0,17,14
4,1588,46,43,1,84544,43853,17,17
4,6776,48,42,1,49000,36000,12,16
4,133,36,31,1,42900,15000,16,16
4,2268,65,66,1,0,0,14,17
4,270,32,31,1,50000,34000,17,17
4,7716,61,0,4,65000,0,13,0
4,7133,57,51,1,16000,0,12,14
4,7057,55,55,1,0,0,11,12
4,8026,42,41,1,125000,45000,17,17
4,6644,29,28,1,35360,0,12,16
4,4048,86,0,3,0,0,12,0
4,3763,63,58,1,110000,40000,17,14
4,4779,51,0,3,48000,0,12,0
4,4373,34,34,1,59000,7000,14,12
4,7727,35,34,1,53720,85953,16,14
4,2628,64,60,1,54000,35000,17,14
4,6568,25,27,1,16000,0,16,16
4,137,22,21,1,25000,12000,14,13
4,6415,81,78,1,0,31000,16,12
4,7069,53,41,1,160000,18000,16,16
4,7425,51,49,1,152000,48000,16,16
4,2461,58,57,1,36000,36000,14,17
4,687,65,0,4,0,0,17,0
4,972,42,38,1,0,40000,13,13
4,1426,38,0,2,195000,0,17,0
4,2038,36,0,2,85000,0,16,0
4,3253,34,0,5,68000,0,17,0
4,2511,32,0,2,9000,0,16,0
4,1620,62,61,1,0,0,16,12
4,2103,22,0,2,16000,0,13,0
4,4002,32,33,1,40000,13000,14,12
4,813,34,0,4,52000,0,14,0
4,4261,33,0,2,0,0,12,0
4,2951,33,0,4,16640,0,13,0
4,8766,33,0,5,0,0,12,0
4,5081,29,32,1,28000,6290,14,16
4,2317,28,27,1,65000,48000,12,12
4,3550,57,54,1,83000,0,12,10
4,2166,55,58,1,29000,0,12,8
4,1184,65,56,1,0,0,10,12
4,2980,42,40,1,58500,24000,13,13
4,8730,51,50,1,25000,0,11,9
4,8775,43,0,2,68000,0,16,0
4,940,41,35,1,14705,36376,13,12
4,8884,32,27,1,65000,0,12,12
4,7944,27,26,2,17000,30000,12,12
4,672,88,85,1,0,0,13,10
4,5978,43,42,1,92000,83000,16,17
4,1328,40,34,1,58351,0,16,14
4,5749,38,38,1,151000,251000,17,17
4,1024,33,0,5,0,0,13,0
4,1881,31,29,4,21000,7000,13,12
4,980,29,27,1,0,0,11,15
4,1910,29,28,2,20000,5000,12,12
4,1257,49,58,1,0,0,10,12
4,1288,47,40,1,64500,15115,17,16
4,1381,38,35,1,89000,72000,16,12
4,4700,63,0,3,9365,0,14,0
4,6358,61,57,1,9999999,82000,16,17
4,4908,65,58,1,0,151000,17,16
4,4890,65,59,1,0,71853,17,12
4,7549,38,0,4,49932,0,17,0
4,8550,37,37,1,50000,100000,15,16
4,5771,34,35,1,119878,118424,16,17
4,5285,24,0,2,11000,0,16,0
4,4482,27,26,1,45000,39000,16,17
4,8259,37,41,1,55000,48000,14,16
4,5354,38,32,2,70000,50000,16,16
4,2341,71,0,4,0,0,14,0
4,1946,46,0,2,4800,0,12,0
4,1697,67,0,2,0,0,16,0
4,1495,84,0,3,0,0,12,0
4,1212,63,0,3,0,0,14,0
4,7405,59,54,1,0,65000,13,17
4,2934,65,0,4,12000,0,15,0
4,4553,35,31,1,30000,38000,16,16
4,5698,33,0,2,33000,0,14,0
4,847,33,0,2,120,0,16,0
4,7604,28,33,2,41000,1400,14,14
4,7629,32,30,1,40000,42000,17,17
4,1619,30,35,1,0,6500,12,99
4,3025,31,28,2,45000,38000,16,16
4,6768,34,41,2,25000,32000,12,16
4,985,54,0,4,41970,0,14,0
4,4476,29,31,2,35000,2700,10,14
4,8538,32,27,1,80000,17000,13,15
4,3153,61,59,1,0,5500,14,13
4,3913,40,39,1,700,2265,15,12
4,2549,38,0,4,5000,0,13,0
4,1524,41,37,2,87000,250,14,16
4,5474,81,0,3,0,0,12,0
4,4200,58,0,4,76000,0,12,0
4,1201,56,53,1,48000,56000,12,16
4,3453,90,0,3,0,0,8,0
4,296,41,36,1,49000,26000,17,17
4,8151,38,0,4,200000,0,17,0
4,44,34,0,2,26000,0,17,0
4,6462,31,30,1,117000,70000,17,17
4,2297,66,61,1,45000,22000,16,12
4,376,70,66,1,0,15000,16,16
4,1303,37,36,1,79000,33000,17,17
4,476,42,38,1,75000,92000,12,17
4,616,44,50,1,29000,20000,17,14
4,590,47,47,1,48000,0,14,14
4,7030,48,45,1,90000,16000,12,12
4,4899,75,71,1,0,0,15,14
4,4333,59,52,1,80000,0,17,17
4,3719,59,0,4,185000,0,17,0
4,4343,30,0,4,38000,0,14,0
4,6032,53,52,1,80000,60000,12,14
4,6098,29,0,2,48000,0,12,0
4,1261,26,0,2,8394,0,14,0
4,3738,33,28,1,42000,24000,16,17
4,1337,32,30,1,52000,44000,16,16
4,6477,31,24,1,52000,50000,11,14
4,1777,76,75,1,0,0,14,12
4,7546,90,87,1,0,0,16,11
4,4983,59,60,1,110000,55000,16,17
4,1561,54,0,4,85000,0,16,0
4,7339,30,0,2,83000,0,16,0
4,6482,54,58,1,175000,33000,16,16
4,7519,49,0,4,58000,0,14,0
4,3428,57,57,1,90000,300,11,12
4,5022,60,0,2,73000,0,17,0
4,4940,39,47,2,47000,28000,12,12
4,4064,33,39,1,900,74000,11,12
4,954,32,31,1,0,0,17,16
4,7537,70,67,1,0,0,15,12
4,7253,43,43,1,210000,24000,16,16
4,7879,42,41,1,90000,12000,16,17
4,8306,59,49,1,1500,52000,11,16
4,4281,38,40,1,0,0,16,16
4,6910,89,0,3,0,0,14,0
4,8688,34,28,1,19785,8480,12,16
4,5704,31,0,2,20599,0,17,0
4,7902,30,28,1,4761,10083,17,14
4,3887,61,62,1,30451,14395,17,16
4,4484,27,0,2,16786,0,16,0
4,7296,24,22,1,0,27118,12,14
4,7746,55,49,1,0,100000,16,17
4,3290,65,62,1,100000,0,17,13
4,7098,38,34,1,1000000,0,16,17
4,6007,31,30,1,280000,35000,16,16
4,594,85,0,3,0,0,16,0
4,465,69,68,1,2500,4200,13,12
4,2386,41,42,1,138000,44800,13,16
4,2438,36,37,1,0,151811,16,16
4,1813,31,0,2,44000,0,16,0
4,8224,28,29,1,50000,200,14,16
4,8035,27,28,1,28000,15000,14,14
4,1867,83,72,1,0,0,14,10
4,7868,43,48,1,52000,157000,12,17
4,3048,72,71,1,0,0,13,13
4,2300,48,49,1,23340,53229,17,17
4,141,78,82,1,0,0,11,12
4,2266,52,0,4,29000,0,10,0
4,3757,33,30,1,22000,10000,11,16
4,1975,32,0,2,31000,0,15,0
4,2619,30,0,2,0,0,12,0
4,555,30,0,4,23000,0,11,0
4,4348,29,0,2,50000,0,14,0
4,228,60,56,1,19909,21891,11,11
4,45,60,55,1,51000,65000,13,12
4,7085,47,0,5,24000,0,12,0
4,1744,26,28,1,36000,32000,12,12
4,2226,68,51,3,0,55000,12,15
4,7942,39,29,1,5000,50000,12,14
4,2252,44,44,1,60000,17000,16,17
4,2062,55,41,1,0,20000,10,14
4,8599,57,0,4,40170,0,12,0
4,5136,37,34,1,20000,26000,12,14
4,321,86,81,1,0,0,8,14
4,1053,57,54,1,95000,40000,17,16
4,5739,31,0,2,0,0,14,0
4,1953,28,0,2,26000,0,15,0
4,673,55,59,1,28000,76000,14,99
4,811,25,22,2,90000,9000,16,15
4,8588,65,64,1,60000,59000,12,11
4,1112,51,46,1,80000,0,16,13
4,8520,40,0,4,25000,0,14,0
4,369,78,74,1,0,0,12,7
4,443,55,0,4,200,0,10,0
4,2553,53,53,1,0,0,9,15
4,5863,27,26,1,10000,15000,15,16
4,1490,97,0,3,0,0,12,0
4,1740,75,73,1,0,0,16,1
4,1667,47,53,1,150000,0,17,14
4,1278,42,42,1,110000,60000,17,16
4,2445,44,44,1,88000,62000,16,17
4,800,76,74,1,0,0,12,11
4,2218,64,60,2,30000,0,17,16
4,3475,63,0,2,13000,0,16,0
4,2524,62,59,1,0,55000,14,17
4,3252,81,0,3,0,0,17,0
4,2366,50,0,2,0,0,12,0
4,3262,80,0,4,0,0,17,0
4,7784,48,48,1,0,550000,16,16
4,4990,78,0,3,0,0,16,0
4,5116,50,50,1,84000,52200,16,16
4,7208,49,49,1,100000,100000,17,17
4,3978,80,0,1,0,0,7,0
4,3977,34,30,2,8000,16000,13,99
4,7507,84,0,3,0,0,12,0
4,7817,33,32,1,99000,64000,17,17
4,9079,29,0,2,57000,0,14,0
4,5431,59,60,1,72000,60000,99,99
4,7167,75,0,3,4320,0,8,0
4,335,100,0,3,0,0,16,0
4,6685,62,60,1,104000,47000,16,16
4,3621,33,35,1,70000,8320,14,13
4,8872,45,42,1,290000,50000,16,16
4,4671,37,33,1,47000,170000,16,16
4,2575,33,37,1,99000,84000,13,16
4,573,71,0,4,2590,0,16,0
4,1684,35,0,2,78000,0,17,0
4,1359,33,34,1,0,0,11,14
4,420,86,0,3,0,0,15,0
4,505,62,0,4,44000,0,16,0
4,756,32,0,2,16500,0,16,0
4,1570,30,25,1,32200,27400,16,16
4,4339,28,0,2,41000,0,16,0
4,2855,60,60,1,48000,8700,17,16
4,166,56,55,1,56000,30000,14,14
4,2815,37,34,1,60000,0,12,13
4,640,32,30,4,9999998,23000,9,12
4,227,72,0,3,18000,0,15,0
4,1054,60,0,3,0,0,11,0
4,9043,53,55,1,70000,60000,12,16
4,1551,41,0,2,800,0,12,0
4,1968,40,0,2,22000,0,10,0
4,743,21,0,2,25000,0,15,0
4,3056,21,0,2,3762,0,10,0
4,2682,18,0,2,0,0,11,0
4,7094,83,0,3,0,0,12,0
4,6713,62,50,1,0,55920,12,14
4,7200,61,56,1,0,32000,12,14
4,7078,31,29,1,7700,30000,11,12
4,7905,89,0,3,0,0,11,0
4,6637,67,65,1,0,9494,16,14
4,450,86,0,3,0,0,17,0
4,53,59,58,1,13000,24000,16,16
4,1434,29,0,2,145000,0,16,0
4,732,27,0,2,34500,0,17,0
4,114,71,0,3,0,0,17,0
4,280,69,0,3,0,0,12,0
4,726,46,0,2,1200,0,99,0
4,1717,45,0,4,0,0,12,0
4,1583,88,0,3,0,0,12,0
4,1609,59,61,1,38000,28000,11,12
4,7962,37,0,5,45000,0,10,0
4,2383,82,80,1,0,0,13,12
4,6004,50,0,4,15000,0,14,0
4,3637,44,47,1,41600,7014,12,11
